,composer,work,theatre,city,date
276,Pyotr Tchaikovsky,"The Queen of Spades, 'Pique Dame' Op 68",Royal Opera House Covent Garden,London,2001-05-12
277,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-14
278,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-14
279,Pyotr Tchaikovsky,"The Queen of Spades, 'Pique Dame' Op 68",Royal Opera House Covent Garden,London,2001-05-15
280,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620","Charter Theatre, Preston Guildhall Centre",Preston,2001-05-15
281,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-15
282,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-15
283,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-15
284,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-15
285,Jules Massenet,Manon ,"Charter Theatre, Preston Guildhall Centre",Preston,2001-05-16
286,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-16
287,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-16
288,George Frideric Handel,"Clori, Tirsi & Fileno HWV 96",Heaven,London,2001-05-16
289,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-16
290,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-16
291,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-17
292,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-17
293,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-17
294,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-17
295,Pyotr Tchaikovsky,"The Queen of Spades, 'Pique Dame' Op 68",Royal Opera House Covent Garden,London,2001-05-18
296,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-18
297,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-18
298,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-18
299,George Frideric Handel,"Clori, Tirsi & Fileno HWV 96",Heaven,London,2001-05-18
300,Composer Not Known,Composition Not Known ,St John's Smith Square,London,2001-05-18
301,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-18
302,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-18
303,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-19
304,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-19
305,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-19
306,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-19
307,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-19
308,Giacomo Puccini,Madama Butterfly ,Palace Theatre,Manchester,2001-05-21
309,Pyotr Tchaikovsky,"The Queen of Spades, 'Pique Dame' Op 68",Royal Opera House Covent Garden,London,2001-05-21
310,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-21
311,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-21
312,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-21
313,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-21
314,George Gershwin,Porgy and Bess ,"Salle Wilfrid-Pelletier, Place des Arts",Montreal ,2001-05-22
315,Giacomo Puccini,Madama Butterfly ,Palace Theatre,Manchester,2001-05-22
316,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-22
317,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-22
318,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-22
319,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-22
320,George Gershwin,Porgy and Bess ,"Salle Wilfrid-Pelletier, Place des Arts",Montreal ,2001-05-23
321,Giacomo Puccini,Madama Butterfly ,Palace Theatre,Manchester,2001-05-23
322,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-23
323,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-23
324,George Frideric Handel,Partenope HWV27,"Linbury Studio Theatre, Royal Opera House",London,2001-05-23
325,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-23
326,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-23
327,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-23
328,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-23
329,Giacomo Puccini,Madama Butterfly ,Palace Theatre,Manchester,2001-05-24
330,Pyotr Tchaikovsky,"The Queen of Spades, 'Pique Dame' Op 68",Royal Opera House Covent Garden,London,2001-05-24
331,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-24
332,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-24
333,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-24
334,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-24
335,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-24
336,Giacomo Puccini,Madama Butterfly ,Palace Theatre,Manchester,2001-05-25
337,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-25
338,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-25
339,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-25
340,George Frideric Handel,Partenope HWV27,"Linbury Studio Theatre, Royal Opera House",London,2001-05-25
341,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-25
342,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-25
343,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-25
344,Giacomo Puccini,Madama Butterfly ,Palace Theatre,Manchester,2001-05-26
345,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-26
346,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-26
347,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-26
348,George Frideric Handel,Partenope HWV27,"Linbury Studio Theatre, Royal Opera House",London,2001-05-26
349,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-26
350,Sir Arthur Sullivan,"The Gondoliers, 'The King of Barataria' ",Cochrane Theatre,London,2001-05-26
351,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-26
352,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,HMS President (1918),London,2001-05-26
353,Giacomo Puccini,Madama Butterfly ,De Montfort Hall,Leicester,2001-05-27
354,Giuseppe Verdi," 
								Excerpts from 'Tosca' 
						",The Marlowe Theatre,Canterbury,2001-05-27
355,Pyotr Tchaikovsky,"The Queen of Spades, 'Pique Dame' Op 68",Royal Opera House Covent Garden,London,2001-05-28
356,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-28
357,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-28
358,Giacomo Puccini,Tosca ,New Theatre,Cardiff,2001-05-29
359,Richard Strauss,Elektra Op 58,"Salle Wilfrid-Pelletier, Place des Arts",Montreal ,2001-05-29
360,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-29
361,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-29
362,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-05-29
363,Richard Strauss,Elektra Op 58,"Salle Wilfrid-Pelletier, Place des Arts",Montreal ,2001-05-29
364,Giacomo Puccini,Madama Butterfly ,King George's Hall,Blackburn,2001-05-30
365,Richard Strauss,Elektra Op 58,"Salle Wilfrid-Pelletier, Place des Arts",Montreal ,2001-05-30
366,Wolfgang Amadeus Mozart,Die Entführung aus dem Serail K 384,Royal Opera House Covent Garden,London,2001-05-30
367,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-30
368,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-30
369,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-05-30
370,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-05-30
371,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-31
372,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-05-31
373,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-05-31
374,Composer Not Known,Composition Not Known ,Octagon Theatre,Yeovil,2001-06-01
375,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-06-01
376,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-06-01
377,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-06-01
378,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-06-01
379,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-06-01
380,Giuseppe Verdi," 
								Overture to 'The Marriage of Figaro' K492
						",Royal Festival Hall,London,2001-06-02
381,Wolfgang Amadeus Mozart,Die Entführung aus dem Serail K 384,Royal Opera House Covent Garden,London,2001-06-02
382,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-06-02
383,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-06-02
384,Sir Arthur Sullivan,Trial By Jury ,Royal Courts of Justice,London,2001-06-02
385,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-06-02
386,Georges Bizet,Carmen ,"Linbury Studio Theatre, Royal Opera House",London,2001-06-02
387,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-02
388,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",The Bridgewater Hall,Manchester,2001-06-03
389,Wolfgang Amadeus Mozart,Die Entführung aus dem Serail K 384,Royal Opera House Covent Garden,London,2001-06-04
390,Giacomo Puccini,Tosca ,New Theatre,Cardiff,2001-06-06
391,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) ,Royal Opera House Covent Garden,London,2001-06-06
392,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-06-06
393,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",New Theatre,Cardiff,2001-06-07
394,Wolfgang Amadeus Mozart,Die Entführung aus dem Serail K 384,Royal Opera House Covent Garden,London,2001-06-07
395,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-07
396,Giacomo Puccini,Tosca ,New Theatre,Cardiff,2001-06-08
397,Benjamin Britten,The Rape of Lucretia Op 37,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2001-06-08
398,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-06-08
399,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",New Theatre,Cardiff,2001-06-09
400,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) ,Royal Opera House Covent Garden,London,2001-06-09
401,Wolfgang Amadeus Mozart,Die Entführung aus dem Serail K 384,Royal Opera House Covent Garden,London,2001-06-09
402,Gioachino Rossini," 
								Excerpts from 'Tosca' 
						",The Bridgewater Hall,Manchester,2001-06-09
403,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-09
404,Benjamin Britten,The Rape of Lucretia Op 37,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2001-06-11
405,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-06-12
406,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-13
407,Giuseppe Verdi,Il Trovatore ,Theatre Royal,Glasgow,2001-06-13
408,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-06-14
409,Ludwig van Beethoven,Fidelio Op 72,Glyndebourne Opera House,Lewes,2001-06-14
410,Giuseppe Verdi,Rigoletto ,St George's Bristol,Bristol,2001-06-15
411,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-06-15
412,James MacMillan,Ines de Castro ,Theatre Royal,Glasgow,2001-06-15
413,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-06-15
414,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,"Charter Theatre, Preston Guildhall Centre",Preston,2001-06-16
415,Sir Arthur Sullivan," 
								Excerpts from 'The Mikado' 
						","Belfast Waterfront, Main Auditorium",Belfast,2001-06-16
416,Wolfgang Amadeus Mozart,Die Entführung aus dem Serail K 384,St George's Bristol,Bristol,2001-06-16
417,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-16
418,Giuseppe Verdi,Il Trovatore ,Theatre Royal,Glasgow,2001-06-16
419,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492",Glyndebourne Opera House,Lewes,2001-06-16
420,Ludwig van Beethoven,Fidelio Op 72,Glyndebourne Opera House,Lewes,2001-06-17
421,Giacomo Puccini,Tosca ,The Mayflower,Southampton,2001-06-19
422,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-06-19
423,Giuseppe Verdi,Il Trovatore ,Edinburgh Festival Theatre,Edinburgh,2001-06-19
424,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-06-19
425,Dmitry Shostakovich,"Moskva, Cherymushki Op 105",Theatre Royal,Newcastle upon Tyne,2001-06-19
426,Leoš  Janácek,Katya Kabanova ,The Mayflower,Southampton,2001-06-20
427,James MacMillan,Ines de Castro ,Edinburgh Festival Theatre,Edinburgh,2001-06-20
428,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492",Glyndebourne Opera House,Lewes,2001-06-20
429,Pyotr Tchaikovsky,Eugene Onegin ,Theatre Royal,Newcastle upon Tyne,2001-06-20
430,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",The Mayflower,Southampton,2001-06-21
431,Benjamin Britten,The Rape of Lucretia Op 37,The London Coliseum,London,2001-06-21
432,Giuseppe Verdi,Il Trovatore ,Edinburgh Festival Theatre,Edinburgh,2001-06-21
433,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-06-21
434,Alban Berg,Composition Not Known ,Theatre Royal,Newcastle upon Tyne,2001-06-21
435,Giacomo Puccini,Tosca ,The Mayflower,Southampton,2001-06-22
436,(Peter) Alexander Goehr,Kantan and Damask Drum Op 67,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2001-06-22
437,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-06-22
438,Ludwig van Beethoven,Fidelio Op 72,Glyndebourne Opera House,Lewes,2001-06-22
439,Dmitry Shostakovich,"Moskva, Cherymushki Op 105",Theatre Royal,Newcastle upon Tyne,2001-06-22
440,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",The Mayflower,Southampton,2001-06-23
441,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-23
442,Giuseppe Verdi,Il Trovatore ,Edinburgh Festival Theatre,Edinburgh,2001-06-23
443,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492",Glyndebourne Opera House,Lewes,2001-06-23
444,Pyotr Tchaikovsky,Eugene Onegin ,Theatre Royal,Newcastle upon Tyne,2001-06-23
445,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-06-24
446,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-06-25
447,Ludwig van Beethoven,Fidelio Op 72,Glyndebourne Opera House,Lewes,2001-06-25
448,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",New Theatre,Oxford,2001-06-26
449,Engelbert Humperdinck,Hänsel und Gretel ehwv 93.3,"Charter Theatre, Preston Guildhall Centre",Preston,2001-06-26
450,Engelbert Humperdinck,Hänsel und Gretel ehwv 93.3,"Charter Theatre, Preston Guildhall Centre",Preston,2001-06-26
451,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-26
452,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-06-26
453,Giacomo Puccini,Tosca ,New Theatre,Oxford,2001-06-27
454,George Frideric Handel,Tamerlano HWV18,Sadler's Wells Theatre,London,2001-06-27
455,Benjamin Britten,The Rape of Lucretia Op 37,The London Coliseum,London,2001-06-27
456,Leoš  Janácek,Katya Kabanova ,New Theatre,Oxford,2001-06-28
457,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-06-28
458,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492",Glyndebourne Opera House,Lewes,2001-06-28
459,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",New Theatre,Oxford,2001-06-29
460,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-06-29
461,Leoš  Janácek,The Makropulos Case ,Glyndebourne Opera House,Lewes,2001-06-29
462,Giacomo Puccini,Tosca ,New Theatre,Oxford,2001-06-30
463,Peter Maxwell Davies,The Lighthouse ,Everyman Theatre,Cheltenham,2001-06-30
464,Gioachino Rossini,"La Cenerentola, 'Cinderella' ","Linbury Studio Theatre, Royal Opera House",London,2001-06-30
465,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-06-30
466,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-06-30
467,Giacomo Puccini,Madama Butterfly ,The Barn Theatre,Great Dunmow,2001-07-01
468,Ludwig van Beethoven,Fidelio Op 72,Glyndebourne Opera House,Lewes,2001-07-01
469,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-07-02
470,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Venue Cymru,Llandudno,2001-07-03
471,Claudio Monteverdi,L'Orfeo ,"Linbury Studio Theatre, Royal Opera House",London,2001-07-03
472,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-07-03
473,Giacomo Puccini,Tosca ,Venue Cymru,Llandudno,2001-07-04
474,Claudio Monteverdi,L'Orfeo ,"Linbury Studio Theatre, Royal Opera House",London,2001-07-04
475,Martin Butler,A Better Place ,The London Coliseum,London,2001-07-04
476,Benjamin Britten,The Rape of Lucretia Op 37,The London Coliseum,London,2001-07-04
477,Leoš  Janácek,Katya Kabanova ,Venue Cymru,Llandudno,2001-07-05
478,Claudio Monteverdi,L'Orfeo ,"Linbury Studio Theatre, Royal Opera House",London,2001-07-05
479,Dmitry Shostakovich,Lady Macbeth of the Mtsensk district Op 29,The London Coliseum,London,2001-07-05
480,Leoš  Janácek,The Makropulos Case ,Glyndebourne Opera House,Lewes,2001-07-05
481,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Venue Cymru,Llandudno,2001-07-06
482,Claudio Monteverdi,L'Orfeo ,"Linbury Studio Theatre, Royal Opera House",London,2001-07-06
483,Wolfgang Amadeus Mozart,Don Giovanni K 527,The London Coliseum,London,2001-07-06
484,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492",Glyndebourne Opera House,Lewes,2001-07-06
485,Giacomo Puccini,Tosca ,Venue Cymru,Llandudno,2001-07-07
486,Claudio Monteverdi,L'Orfeo ,"Linbury Studio Theatre, Royal Opera House",London,2001-07-07
487,Martin Butler,A Better Place ,The London Coliseum,London,2001-07-07
488,Benjamin Britten,The Rape of Lucretia Op 37,The London Coliseum,London,2001-07-07
489,Benjamin Britten,A Midsummer Night's Dream Op 64,Glyndebourne Opera House,Lewes,2001-07-07
490,Henry Purcell,La Descente d'Orphee aux enfers H488,Pittville Pump Room,Cheltenham,2001-07-08
491,Ludwig van Beethoven,Fidelio Op 72,Glyndebourne Opera House,Lewes,2001-07-08
