,country,city,venue,dates,composer,work,listing_url
97,Germany,Munich,Nationaltheater,"June 17 19:00, June 20 19:00, June 24 18:00","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/nationaltheater-1927/rigoletto/17-june-2018/19-00
98,United States,Minneapolis,Guthrie Theater,"June 17 19:00, June 19 19:30, June 20 19:30, June 21 19:30, June 22 20:15, June 23 19:30, June 24 13:00, June 26 19:30, June 27 19:30, June 28 19:30, June 29 19:30, June 30 13:00, 19:30, July 01 13:00, 19:00, July 03 19:30, July 04 19:00, July 05 19:30, July 06 19:30, July 07 13:00, 19:30, July 08 19:00, July 10 19:30, July 11 13:00, 19:30, July 12 19:30, July 13 19:30, July 14 13:00, 19:30, July 15 19:00, July 17 19:30, July 18 19:30, July 19 19:30, July 20 19:30, July 21 19:00, July 22 13:00, 19:00, July 24 19:30, July 25 13:00, 19:30, July 26 19:30, July 27 19:30, July 28 13:00, 19:30, July 29 19:00, July 31 19:30, August 01 19:30, August 02 19:30, August 03 19:30, August 04 13:00, 19:30, August 05 13:00, August 07 19:30, August 08 19:30, August 09 19:30, August 10 19:30, August 11 13:00, 19:30, August 12 13:00, 19:00, August 14 19:30, August 15 19:30, August 16 19:30, August 17 19:30, August 18 13:00, 19:30, August 19 13:00, 19:00, August 21 19:30, August 22 19:30, August 23 19:30, August 24 19:30, August 25 13:00, 19:30, August 26 19:00","Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/guthrie-theater/west-side-story/17-june-2018/19-00
99,Germany,Berlin,Komische Oper Berlin,"June 02, 09, 17 19:00, 22, 26, July 03, 07 (at 19:30 unless shown)","Loewe, Frederick (1901-1988)",My Fair Lady,https://bachtrack.com/opera-listing/komische-oper-berlin/my-fair-lady/02-june-2018/19-30
100,Germany,Berlin,"Berlin State Opera, Unter den Linden","June 17 18:00, June 21 19:30, June 24 18:00, June 29 19:30, July 02 19:30","Verdi, Giuseppe (1813-1901)",Macbeth,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/macbeth/17-june-2018/18-00
101,Germany,Mannheim,Nationaltheater: Opernhaus,"June 02 19:00, June 07 18:00, June 17 18:00, June 22 19:00, July 15 18:00, July 23 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/nationaltheater-opernhaus/die-zauberflote/02-june-2018/19-00
102,United States,San Francisco,War Memorial Opera House,"June 17, 24, July 01 at 13:00","Wagner, Richard (1813-1883)",Götterdämmerung,https://bachtrack.com/opera-listing/war-memorial-opera-house/gotterdammerung/17-june-2018/13-00
103,Germany,Duisburg,Theater Duisburg,"May 31, June 10, 17, 24 at 17:00","Wagner, Richard (1813-1883)",Die Walküre,https://bachtrack.com/opera-listing/theater-duisburg/die-walkure/31-may-2018/17-00
104,Germany,Dresden,Semperoper,"June 17, 20, 23 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/semperoper/don-giovanni/17-june-2018/19-00
105,Czech Republic,Prague,National Theatre (Národní divadlo),"2017 November 26, December 13, 2018 February 15, March 08, June 17 at 19:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/national-theatre-narodni-divadlo/tosca/26-november-2017/19-00
106,Italy,Milan,La Scala,"June 18, 21, 25, 28, July 02, 05, 07 at 20:00","Beethoven, Ludwig van (1770-1827)",Fidelio,https://bachtrack.com/opera-listing/la-scala/fidelio/18-june-2018/20-00
107,United Kingdom,London,Holland Park Theatre,On Tuesday 19 June 2018 at 19:00,"Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/holland-park-theatre/la-traviata-gala-evening-for-the-ms-society/19-june-2018/19-00
108,Italy,Naples,Teatro di San Carlo,"June 19 20:00, June 20 20:00, June 21 18:00, June 24 17:00, June 26 20:00, June 27 18:00","Verdi, Giuseppe (1813-1901)",Nabucco,https://bachtrack.com/opera-listing/teatro-di-san-carlo/postponed-to-october-nabucco/19-june-2018/20-00
109,Czech Republic,Prague,National Theatre (Národní divadlo),"January 22, 30, April 10, June 05, 19 at 19:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/national-theatre-narodni-divadlo/la-traviata/22-january-2018/19-00
110,Italy,Florence,Opera di Firenze/Teatro del Maggio Musicale Fiorentino,"June 19 20:00, June 21 20:00, June 23 15:30","Dallapiccola, Luigi (1904-1975)",Il Prigioniero,https://bachtrack.com/opera-listing/opera-di-firenzeteatro-del-maggio-musicale-fiorentino/il-prigioniero-quattro-pezzi-sacri/19-june-2018/20-00
111,Italy,Florence,Opera di Firenze/Teatro del Maggio Musicale Fiorentino,"June 19 20:00, June 21 20:00, June 23 15:30","Verdi, Giuseppe (1813-1901)",Quattro pezzi sacri (Four sacred pieces),https://bachtrack.com/opera-listing/opera-di-firenzeteatro-del-maggio-musicale-fiorentino/il-prigioniero-quattro-pezzi-sacri/19-june-2018/20-00
112,Germany,Dresden,Semperoper,"March 16, 21, May 06, 10, 13, 21, 26, June 19 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/semperoper/le-nozze-di-figaro-the-marriage-of-figaro/16-march-2018/19-00
113,Poland,Warsaw,Teatr Wielki,"May 18, 19, 23, June 19 at 19:00","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/teatr-wielki/madama-butterfly/18-may-2018/19-00
114,United Kingdom,London,The London Coliseum,"June 20, 21 14:30, 19:30, 22, 23 14:30, 19:30, 26, 27, 28, 29, 30 14:30, 19:30 (at 19:30 unless shown)","Porter, Cole (1891-1964)","Kiss me, Kate",https://bachtrack.com/opera-listing/the-london-coliseum/kiss-me-kate/20-june-2018/19-30
115,Germany,Leipzig,Opernhaus,"2017 November 11 19:00, 2018 January 19 19:30, April 27 19:30, June 20 19:30","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/opernhaus/die-zauberflote/11-november-2017/19-00
116,Spain,Valencia,Palau de les Arts Reina Sofia: Sala Principal,"June 20 20:00, June 23 19:00, June 26 20:00, June 29 20:00, July 01 18:00","Berlioz, Hector (1803-1869)",The Damnation of Faust (La Damnation de Faust),https://bachtrack.com/opera-listing/palau-de-les-arts-reina-sofia-sala-principal/the-damnation-of-faust-la-damnation-de-faust/20-june-2018/20-00
117,United States,Olney,Olney Theatre Center,"June 20 19:30, June 21 19:30, June 22 19:30, June 23 19:30, June 24 14:00, June 27 14:00, 19:30, June 28 19:30, June 29 19:30, June 30 14:00, July 01 14:00, July 04 19:30, July 05 19:30, July 06 19:30, July 07 14:00, 19:30, July 08 14:00, July 11 14:00, 19:30, July 12 19:30, July 13 19:30, July 14 14:00, 19:30, July 15 14:00, July 18 14:00, 19:30, July 19 19:30, July 20 19:30, July 21 14:00, 19:30, July 22 14:00","Bernstein, Leonard (1918-1990)",On the Town,https://bachtrack.com/opera-listing/olney-theatre-center/on-the-town/20-june-2018/19-30
118,United States,Richmond,Sara Belle And Neil November Theatre,"June 20 19:00, June 21 19:00, June 22 20:00, June 23 14:00, 20:00, June 24 14:00, June 27 14:00, June 28 19:00, June 29 20:00, June 30 20:00, July 01 14:00, July 05 19:00, July 06 20:00, July 07 20:00, July 08 14:00, July 11 19:00, July 12 19:00, July 13 20:00, July 14 14:00, 20:00, July 15 14:00, July 18 14:00, 19:00, July 19 19:00, July 20 20:00, July 21 20:00, July 22 14:00, July 25 19:00, July 26 19:00, July 27 20:00, July 28 14:00, 20:00, July 29 14:00","Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/sara-belle-and-neil-november-theatre/west-side-story/20-june-2018/19-00
119,Russia,Moscow,Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre: Main Stage,"June 20, 21, 22 at 19:00","Verdi, Giuseppe (1813-1901)",Macbeth,https://bachtrack.com/opera-listing/stanislavsky-and-nemirovich-danchenko-moscow-music-theatre-main-stage/macbeth/20-june-2018/19-00
120,France,Paris,Opéra Bastille,"June 20, 21, 23, 25, 27, 28, 30, July 04, 05, 07, 10, 11, 13, 14 at 19:30","Verdi, Giuseppe (1813-1901)",Il trovatore,https://bachtrack.com/opera-listing/opera-bastille/il-trovatore/20-june-2018/19-30
121,Austria,Vienna,Staatsoper,"June 21 19:30, June 24 19:00, June 27 19:00, June 30 19:00","Verdi, Giuseppe (1813-1901)",Falstaff,https://bachtrack.com/opera-listing/staatsoper/falstaff/21-june-2018/19-30
122,Australia,Sydney,City Recital Hall,"June 21 19:00, June 23 14:00, June 24 17:00, June 26 19:00","Handel, George Frideric (1685-1759)",Athalia,https://bachtrack.com/opera-listing/city-recital-hall/athalia/21-june-2018/19-00
123,Czech Republic,Prague,National Theatre (Národní divadlo),"June 07, 09, 21, 26 at 19:00","Massenet, Jules (1842-1912)",Werther,https://bachtrack.com/opera-listing/national-theatre-narodni-divadlo/werther/07-june-2018/19-00
124,United Kingdom,London,St Cyprian's Church,On Thursday 21 June 2018 at 19:30,"Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/st-cyprians-church/il-barbiere-di-siviglia-the-barber-of-seville/21-june-2018/19-30
125,Spain,Madrid,Teatro Real,"June 22, 23, 25, 26, 28, 29, July 01, 02, 04, 05, 07, 08, 10, 11, 13 at 20:00","Donizetti, Gaetano (1797-1848)",Lucia di Lammermoor,https://bachtrack.com/opera-listing/teatro-real/lucia-di-lammermoor/22-june-2018/20-00
126,United States,Santa Monica,The Broad Stage ,"June 22 19:30, June 24 14:00","Getty, Gordon (b. 1934)",Usher House,https://bachtrack.com/opera-listing/the-broad-stage/usher-house-the-canterville-ghost/22-june-2018/19-30
127,Hungary,Budapest,Margaret Island Open-Air Stage,"June 22, 24 at 20:00","Strauss, Richard (1864-1949)",Salome,https://bachtrack.com/opera-listing/margaret-island-open-air-stage/salome/22-june-2018/20-00
128,France,Toulouse,Théâtre du Capitole,"June 22 20:00, June 24 15:00, June 26 20:00, June 29 20:00, July 01 15:00","Mozart, Wolfgang Amadeus (1756-1791)",La clemenza di Tito,https://bachtrack.com/opera-listing/theatre-du-capitole/la-clemenza-di-tito/22-june-2018/20-00
129,Germany,Berlin,"Berlin State Opera, Unter den Linden","June 22, 30, July 01, 03, 06 at 19:30","Gluck, Christoph Willibald (1714-1787)",Orfeo ed Euridice,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/orfeo-ed-euridice/22-june-2018/19-30
130,United Kingdom,London,Regent's Park Open Air Theatre,"June 22, 23, 25, 26, 27 14:15, 19:45, 29, 30 14:15, 19:45 (at 19:45 unless shown)","Britten, Benjamin (1913-1976)",The Turn of the Screw,https://bachtrack.com/opera-listing/regents-park-open-air-theatre/the-turn-of-the-screw/22-june-2018/19-45
131,Germany,Duisburg,Theater Duisburg,"February 17, March 23, June 01, 22 at 19:30","Verdi, Giuseppe (1813-1901)",Aida,https://bachtrack.com/opera-listing/theater-duisburg/aida/17-february-2018/19-30
132,Germany,Dresden,Semperoper,"2017 October 02 19:30, October 14 19:00, 2018 June 22 19:00, June 24 19:00, June 27 19:00, July 07 19:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/semperoper/carmen/02-october-2017/19-30
133,Poland,Warsaw,Teatr Wielki,"2017 November 22 20:00, November 24 19:00, November 26 19:00, 2018 June 22 20:00, June 24 19:00","Poulenc, Francis (1899-1963)",La Voix humaine,https://bachtrack.com/opera-listing/teatr-wielki/la-voix-humaine/22-november-2017/20-00
134,France,Nancy,Opéra National de Lorraine,On Friday 22 June 2018 at 20:00,"Rossini, Gioachino (1792-1868)",L'italiana in Algeri (The Italian Girl in Algiers),https://bachtrack.com/opera-listing/opera-national-de-lorraine/rossini-litalienne-a-alger/22-june-2018/20-00
135,France,Paris,Théâtre des Champs-Élysées,On Friday 22 June 2018 at 20:00,"Rossini, Gioachino (1792-1868)",L'italiana in Algeri (The Italian Girl in Algiers),https://bachtrack.com/opera-listing/theatre-des-champs-elysees/litaliana-in-algeri-the-italian-girl-in-algiers/22-june-2018/20-00
136,Germany,Leipzig,Opernhaus,"2017 December 22 19:30, 2018 January 27 19:00, June 23 19:00","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/opernhaus/turandot/22-december-2017/19-30
137,United Kingdom,Moreton-in-Marsh,Longborough Festival Opera,"June 23, 26, 28, 30, July 01, 03 at 17:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/longborough-festival-opera/la-traviata-longborough-festival-opera/23-june-2018/17-00
138,United Kingdom,Bradford on Avon,Iford Manor,"June 23, 26, 28, 30, July 03, 04 at 19:30","Handel, George Frideric (1685-1759)",Partenope,https://bachtrack.com/opera-listing/iford-manor/partenope/23-june-2018/19-30
139,Germany,Berlin,Komische Oper Berlin,"June 23 19:30, June 27 19:00, July 02 19:30, July 05 19:30, July 08 19:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/komische-oper-berlin/carmen/23-june-2018/19-30
140,Germany,Berlin,Deutsche Oper,"June 23, 26, July 03, 06 at 19:00","Gounod, Charles-Francois (1818-1893)",Faust,https://bachtrack.com/opera-listing/deutsche-oper/faust/23-june-2018/19-00
141,United Kingdom,London,"Holy Trinity Church, Rotherhithe",On Saturday 23 June 2018 at 19:00,"Vivaldi, Antonio (1678-1741)","Nisi Dominus, RV 608",https://bachtrack.com/concert-listing/holy-trinity-church-rotherhithe/la-defense-de-la-vertu/23-june-2018/19-00
142,United Kingdom,London,St John's Smith Square,On Saturday 23 June 2018 at 19:30,"Handel, George Frideric (1685-1759)",Saul,https://bachtrack.com/concert-listing/st-johns-smith-square/saul-in-concert/23-june-2018/19-30
143,New Zealand,Wellington,The Opera House,"June 23 19:30, June 26 18:30, June 28 19:30, June 30 19:30","Donizetti, Gaetano (1797-1848)",L'elisir d'amore,https://bachtrack.com/opera-listing/the-opera-house-1/lelisir-damore/23-june-2018/19-30
144,Germany,Düsseldorf,Opernhaus,"May 19 18:30, June 03 15:00, June 09 18:30, June 23 18:30","Strauss, Richard (1864-1949)",Der Rosenkavalier,https://bachtrack.com/opera-listing/opernhaus-2016/der-rosenkavalier/19-may-2018/18-30
145,United Kingdom,West Horsley,The Theatre in the Woods,"June 23, 26, July 01, 04, 06 at 18:00","Gounod, Charles-Francois (1818-1893)",Roméo et Juliette,https://bachtrack.com/opera-listing/the-theatre-in-the-woods/romeo-et-juliette/23-june-2018/18-00
146,Czech Republic,Prague,Karlín Music Theatre,"March 27, April 03, 09, 30, May 15, 22, June 23 at 19:00","Gounod, Charles-Francois (1818-1893)",Roméo et Juliette,https://bachtrack.com/opera-listing/karlin-music-theatre/romeo-et-juliette/27-march-2018/19-00
147,Germany,Mannheim,Nationaltheater: Opernhaus,"May 19 19:30, May 27 19:30, June 09 19:00, June 23 19:30, June 28 19:30, July 07 19:00, July 22 16:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/nationaltheater-opernhaus/la-traviata/19-may-2018/19-30
148,United Kingdom,Birmingham,Birmingham Symphony Hall,On Saturday 23 June 2018 at 17:00,"Debussy, Claude (1862-1918)",Pelléas et Mélisande,https://bachtrack.com/opera-listing/birmingham-symphony-hall/pelleas-et-melisande-opera-in-concert/23-june-2018/17-00
149,United Kingdom,London,Cadogan Hall,On Saturday 23 June 2018 at 19:00,"Massenet, Jules (1842-1912)",Thaïs,https://bachtrack.com/opera-listing/cadogan-hall/thais/23-june-2018/19-00
150,Switzerland,Zürich,Opernhaus,"June 24, 27, 30, July 03, 05, 08 14:00, 12 (at 19:00 unless shown)","Monteverdi, Claudio (1567-1643)","L'incoronazione di Poppea, SV 308",https://bachtrack.com/opera-listing/opernhaus-1069/lincoronazione-di-poppea/24-june-2018/19-00
151,Spain,Valencia,Palau de les Arts Reina Sofia: Auditori,"June 24 18:00, June 28 20:00","Mozart, Wolfgang Amadeus (1756-1791)",La clemenza di Tito,https://bachtrack.com/opera-listing/palau-de-les-arts-auditori/la-clemenza-di-tito/24-june-2018/18-00
152,Germany,Düsseldorf,Opernhaus,"June 24 18:30, June 30 19:30, July 06 19:30, July 14 19:30","Mascagni, Pietro (1863-1945)",Cavalleria rusticana,https://bachtrack.com/opera-listing/opernhaus-2016/cavalleria-rusticana-pagliacci/24-june-2018/18-30
153,Germany,Düsseldorf,Opernhaus,"June 24 18:30, June 30 19:30, July 06 19:30, July 14 19:30","Leoncavallo, Ruggero (1857-1919)",Pagliacci,https://bachtrack.com/opera-listing/opernhaus-2016/cavalleria-rusticana-pagliacci/24-june-2018/18-30
154,Germany,Cologne,Oper Köln: Staatenhaus Saal 2,"June 24 18:00, June 27 19:30, July 01 18:00, July 05 19:30, July 07 19:30, July 15 18:00","Cimarosa, Domenico (1749-1801)",Il matrimonio segreto (The Secret Marriage),https://bachtrack.com/opera-listing/oper-koln-staatenhaus-saal-2/il-matrimonio-segreto/24-june-2018/18-00
155,Czech Republic,Prague,National Theatre (Národní Divadlo): The New Stage,"April 07, 08, 12, May 13, June 24 at 20:00","Acher, Ivan",Sternenhoch,https://bachtrack.com/opera-listing/national-theatre-narodni-divadlo-the-new-stage/sternenhoch/07-april-2018/20-00
156,United Kingdom,Alresford,The Grange,"June 24, 26, 29, July 01, 07 at 17:30","Mozart, Wolfgang Amadeus (1756-1791)",Die Entführung aus dem Serail (The Abduction from the Harem),https://bachtrack.com/opera-listing/the-grange/die-entfuhrung-aus-dem-serail-the-abduction-from-the-harem/24-june-2018/17-30
157,France,Lyon,Opéra Nouvel,"June 25, 27, 29, July 01 16:00, 03, 05, 07, 09, 11 (at 20:00 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/opera-nouvel/don-giovanni/25-june-2018/20-00
158,Netherlands,Amsterdam,Dutch National Opera and Ballet,"June 25 20:00, June 27 20:00, June 29 20:00, July 01 14:00, July 03 20:00, July 05 20:00","Benjamin, George (b. 1960)",Lessons in Love and Violence,https://bachtrack.com/opera-listing/dutch-national-opera-and-ballet/lessons-in-love-and-violence/25-june-2018/20-00
159,Italy,Turin,Teatro Regio di Torino,"June 26, 29, July 03, 06 at 20:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/teatro-regio-di-torino/le-nozze-di-figaro/26-june-2018/20-00
160,United Kingdom,London,Royal College of Music: Britten Theatre,"June 27, 29, July 02, 03 at 19:00","Davies, Sir Peter Maxwell (1934-2016)",The Lighthouse,https://bachtrack.com/opera-listing/royal-college-of-music-britten-theatre/the-lighthouse-in-the-locked-room/27-june-2018/19-00
161,Italy,Turin,Teatro Regio di Torino,"June 27, 30, July 04, 07 at 20:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/teatro-regio-di-torino/don-giovanni/27-june-2018/20-00
162,Czech Republic,Prague,Estates Theatre (Stavovské divaldo),"2017 October 10, 16, November 07, December 25, 2018 January 04, February 14, 22, March 02, 23, April 02, 13, 27, May 28, June 27, 30 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/estates-theatre-stavovske-divaldo/don-giovanni/10-october-2017/19-00
163,Germany,Leipzig,Opernhaus,"2017 October 29 18:00, December 28 19:30, 2018 April 19:00, June 11:00","Weber, Carl Maria von (1786-1826)",Der Freischütz,https://bachtrack.com/opera-listing/opernhaus/der-freischutz/29-october-2017/18-00
164,Finland,Snappertuna,Raseborg Castle: Summer theatre,"June 28 19:00, June 30 16:00, July 01 16:00, July 04 19:00, July 05 19:00, July 07 16:00, July 08 16:00, July 11 19:00, July 12 19:00, July 18 19:00, July 19 19:00, July 21 16:00, July 22 16:00, July 24 21:00, July 25 19:00, July 26 19:00, July 29 16:00, August 01 19:00, August 02 19:00, August 05 16:00","Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/raseborg-castle-summer-theatre/west-side-story/28-june-2018/19-00
