,work,date
12939,La Traviata,1954-02-06
12940,Don Giovanni,1954-02-06
12941,Lucia di Lammermoor,1954-02-08
12942,Il Trovatore,1954-02-09
12943,Boris Godunov,1954-02-10
12944,La Traviata,1954-02-11
12945,Rigoletto,1954-02-12
12946,Die Walküre,1954-02-13
12947,Aida,1954-02-13
12948,Die Fledermaus,1954-02-15
12949,Carmen,1954-02-16
12950,La Forza del Destino,1954-02-17
12951,Boris Godunov,1954-02-18
12952,Il Barbiere di Siviglia,1954-02-19
12953,Aida,1954-02-20
12954,Lucia di Lammermoor,1954-02-20
12955,Il Trovatore,1954-02-22
12956,Die Walküre,1954-02-23
12957,Faust,1954-02-24
12958,Il Barbiere di Siviglia,1954-02-25
12959,La Bohème,1954-02-26
12960,Boris Godunov,1954-02-27
12961,Aida,1954-02-27
12962,Il Barbiere di Siviglia,1954-03-01
12963,Don Giovanni,1954-03-02
12964,Il Trovatore,1954-03-03
12965,Lucia di Lammermoor,1954-03-04
12966,Aida,1954-03-05
12967,Il Barbiere di Siviglia,1954-03-06
12968,Boris Godunov,1954-03-06
12969,Tannhäuser,1954-03-08
12970,Norma,1954-03-09
12971,Die Fledermaus,1954-03-10
12972,Carmen,1954-03-11
12973,Il Barbiere di Siviglia,1954-03-12
12974,Don Giovanni,1954-03-13
12975,La Bohème,1954-03-13
12976,Boris Godunov,1954-03-15
12977,Il Barbiere di Siviglia,1954-03-16
12978,Die Walküre,1954-03-17
12979,Cavalleria Rusticana,1954-03-18
12980,La Bohème,1954-03-19
12981,La Traviata,1954-03-19
12982,La Forza del Destino,1954-03-20
12983,Faust,1954-03-20
12984,Così Fan Tutte,1954-03-22
12985,Boris Godunov,1954-03-23
12986,Cavalleria Rusticana,1954-03-24
12987,Die Fledermaus,1954-03-25
12988,La Bohème,1954-03-26
12989,Parsifal,1954-03-26
12990,Norma,1954-03-27
12991,Gala Performance,1954-03-27
12992,Norma,1954-03-29
12993,Il Barbiere di Siviglia,1954-03-30
12994,Tannhäuser,1954-03-31
12995,Aida,1954-04-01
12996,La Bohème,1954-04-02
12997,Cavalleria Rusticana,1954-04-02
12998,Carmen,1954-04-03
12999,Il Barbiere di Siviglia,1954-04-03
13000,Cavalleria Rusticana,1954-04-05
13001,Tannhäuser,1954-04-06
13002,Il Barbiere di Siviglia,1954-04-07
13003,Rigoletto,1954-04-08
13004,La Bohème,1954-04-09
13005,Norma,1954-04-09
13006,Così Fan Tutte,1954-04-10
13007,Carmen,1954-04-10
13008,Aida,1954-04-12
13009,Il Barbiere di Siviglia,1954-04-13
13010,Le Nozze di Figaro,1954-04-14
13011,Norma,1954-04-15
13012,Parsifal,1954-04-16
13013,Parsifal,1954-04-17
13014,Il Trovatore,1954-04-17
13015,Lucia di Lammermoor,1954-04-19
13016,Tannhäuser,1954-04-20
13017,Carmen,1954-04-21
13018,Faust,1954-04-21
13019,Aida,1954-04-22
13020,La Bohème,1954-04-23
13021,Il Barbiere di Siviglia,1954-04-24
13022,Il Trovatore,1954-04-24
13023,Don Giovanni,1954-04-26
13024,Faust,1954-04-27
13025,Carmen,1954-04-28
13026,La Bohème,1954-04-28
13027,Il Trovatore,1954-04-29
13028,Tannhäuser,1954-04-30
13029,Il Barbiere di Siviglia,1954-05-01
13030,La Traviata,1954-05-01
13031,Don Giovanni,1954-05-03
13032,Faust,1954-05-04
13033,Lucia di Lammermoor,1954-05-04
13034,La Forza del Destino,1954-05-05
13035,La Traviata,1954-05-06
13036,La Bohème,1954-05-06
13037,Don Giovanni,1954-05-07
13038,Lucia di Lammermoor,1954-05-08
13039,La Traviata,1954-05-09
13040,Le Nozze di Figaro,1954-05-09
13041,Faust,1954-05-10
13042,Rigoletto,1954-05-11
13043,Faust,1954-05-12
13044,La Traviata,1954-05-13
13045,La Forza del Destino,1954-05-14
13046,Lucia di Lammermoor,1954-05-15
13047,Le Nozze di Figaro,1954-05-15
13048,Faust,1954-05-16
13049,Il Barbiere di Siviglia,1954-05-17
13050,Faust,1954-05-18
13051,Rigoletto,1954-05-19
13052,Faust,1954-05-20
13053,Aida,1954-05-21
13054,Lucia di Lammermoor,1954-05-22
13055,La Bohème,1954-05-22
13056,Rigoletto,1954-05-23
13057,La Traviata,1954-05-23
13058,Lucia di Lammermoor,1954-05-24
13059,Aida,1954-05-25
13060,Il Barbiere di Siviglia,1954-05-26
13061,La Traviata,1954-05-27
13062,Faust,1954-05-28
13063,Rigoletto,1954-05-29
13064,Gala Opening,1954-11-08
13065,Il Barbiere di Siviglia,1954-11-10
13066,Die Meistersinger von Nürnberg,1954-11-11
13067,Il Barbiere di Siviglia,1954-11-12
13068,Madama Butterfly,1954-11-13
13069,Die Meistersinger von Nürnberg,1954-11-15
13070,Andrea Chénier,1954-11-16
13071,Il Barbiere di Siviglia,1954-11-17
13072,Faust,1954-11-18
13073,Madama Butterfly,1954-11-19
13074,La Traviata,1954-11-20
13075,Aida,1954-11-20
13076,Faust,1954-11-22
13077,Andrea Chénier,1954-11-23
13078,La Traviata,1954-11-24
13079,Il Barbiere di Siviglia,1954-11-25
13080,Die Meistersinger von Nürnberg,1954-11-26
13081,Madama Butterfly,1954-11-27
13082,Cavalleria Rusticana,1954-11-27
13083,Il Barbiere di Siviglia,1954-11-29
13084,Aida,1954-11-30
13085,Madama Butterfly,1954-12-01
13086,La Traviata,1954-12-02
13087,Manon,1954-12-03
13088,Andrea Chénier,1954-12-04
13089,Cavalleria Rusticana,1954-12-04
13090,Aida,1954-12-06
13091,Il Barbiere di Siviglia,1954-12-07
13092,Faust,1954-12-08
13093,Le Nozze di Figaro,1954-12-09
13094,Andrea Chénier,1954-12-10
13095,Die Meistersinger von Nürnberg,1954-12-11
13096,Manon,1954-12-11
13097,La Traviata,1954-12-13
13098,Andrea Chénier,1954-12-14
13099,Vittorio,1954-12-15
13100,Madama Butterfly,1954-12-16
13101,Cavalleria Rusticana,1954-12-17
13102,Manon,1954-12-18
13103,Don Carlo,1954-12-18
13104,Le Nozze di Figaro,1954-12-20
13105,Manon,1954-12-21
13106,Vittorio,1954-12-22
13107,Andrea Chénier,1954-12-23
13108,Faust,1954-12-24
13109,Il Barbiere di Siviglia,1954-12-25
13110,Tosca,1954-12-25
13111,Don Carlo,1954-12-27
13112,Die Meistersinger von Nürnberg,1954-12-28
13113,Carmen,1954-12-29
13114,Vittorio,1954-12-30
13115,Die Fledermaus,1954-12-31
13116,Aida,1955-01-01
13117,La Traviata,1955-01-01
13118,Carmen,1955-01-03
13119,Tosca,1955-01-04
13120,Le Nozze di Figaro,1955-01-05
13121,Cavalleria Rusticana,1955-01-06
13122,Un Ballo in Maschera,1955-01-07
13123,Vittorio,1955-01-08
13124,Madama Butterfly,1955-01-08
13125,Vittorio,1955-01-10
13126,Un Ballo in Maschera,1955-01-11
13127,Don Giovanni,1955-01-12
13128,Manon,1955-01-13
13129,Carmen,1955-01-14
13130,Le Nozze di Figaro,1955-01-15
13131,Aida,1955-01-15
13132,La Traviata,1955-01-16
13133,Andrea Chénier,1955-01-17
13134,Don Giovanni,1955-01-18
13135,Cavalleria Rusticana,1955-01-19
13136,La Bohème,1955-01-20
13137,Vittorio,1955-01-21
13138,Un Ballo in Maschera,1955-01-22
13139,Die Fledermaus,1955-01-22
13140,Madama Butterfly,1955-01-24
13141,Manon,1955-01-25
13142,Tannhäuser,1955-01-26
13143,Aida,1955-01-27
13144,Don Carlo,1955-01-28
13145,Tannhäuser,1955-01-29
13146,Un Ballo in Maschera,1955-01-29
13147,Otello,1955-01-31
13148,Le Nozze di Figaro,1955-02-01
13149,Manon,1955-02-02
13150,La Bohème,1955-02-03
13151,La Traviata,1955-02-04
13152,Carmen,1955-02-05
13153,Tosca,1955-02-05
13154,Faust,1955-02-07
13155,Un Ballo in Maschera,1955-02-08
13156,La Bohème,1955-02-09
13157,Arabella,1955-02-10
13158,Otello,1955-02-11
13159,Don Giovanni,1955-02-12
13160,Carmen,1955-02-12
13161,Cavalleria Rusticana,1955-02-14
13162,Arabella,1955-02-15
13163,Tosca,1955-02-16
13164,Don Carlo,1955-02-17
13165,Faust,1955-02-18
13166,La Bohème,1955-02-18
13167,Faust,1955-02-19
13168,Arabella,1955-02-19
13169,Manon,1955-02-21
13170,Madama Butterfly,1955-02-22
13171,Andrea Chénier,1955-02-23
13172,Orfeo ed Euridice,1955-02-24
13173,Tannhäuser,1955-02-25
13174,Arabella,1955-02-26
13175,Un Ballo in Maschera,1955-02-26
13176,Orfeo ed Euridice,1955-02-28
13177,Otello,1955-03-01
13178,Arabella,1955-03-02
13179,Tristan und Isolde,1955-03-03
13180,Il Barbiere di Siviglia,1955-03-04
13181,Don Carlo,1955-03-05
13182,Otello,1955-03-05
13183,Tannhäuser,1955-03-07
13184,Tosca,1955-03-08
13185,La Gioconda,1955-03-09
13186,Don Giovanni,1955-03-10
13187,Faust,1955-03-11
13188,Orfeo ed Euridice,1955-03-11
13189,Otello,1955-03-12
13190,Tristan und Isolde,1955-03-12
13191,Tosca,1955-03-14
13192,Tristan und Isolde,1955-03-15
13193,Carmen,1955-03-16
13194,Otello,1955-03-17
13195,Faust,1955-03-18
13196,Aida,1955-03-18
13197,Tristan und Isolde,1955-03-19
13198,Il Barbiere di Siviglia,1955-03-19
13199,La Gioconda,1955-03-21
13200,Faust,1955-03-22
13201,Parsifal,1955-03-23
13202,Arabella,1955-03-24
13203,Faust,1955-03-25
13204,Tosca,1955-03-25
13205,La Bohème,1955-03-26
13206,Andrea Chénier,1955-03-26
13207,Andrea Chénier,1955-03-28
13208,Manon,1955-03-29
13209,Orfeo ed Euridice,1955-03-30
13210,Manon,1955-03-31
13211,Faust,1955-04-01
13212,Don Giovanni,1955-04-01
13213,La Gioconda,1955-04-02
13214,Gala Performance,1955-04-02
13215,Arabella,1955-04-04
13216,La Bohème,1955-04-05
13217,Faust,1955-04-06
13218,Aida,1955-04-06
13219,Carmen,1955-04-07
13220,Parsifal,1955-04-08
13221,Orfeo ed Euridice,1955-04-09
13222,Die Fledermaus,1955-04-09
13223,Carmen,1955-04-11
13224,La Traviata,1955-04-12
13225,Cavalleria Rusticana,1955-04-13
13226,La Gioconda,1955-04-13
13227,Madama Butterfly,1955-04-14
13228,Andrea Chénier,1955-04-15
13229,Le Nozze di Figaro,1955-04-16
13230,Tosca,1955-04-16
13231,Andrea Chénier,1955-04-18
13232,Tosca,1955-04-19
13233,Cavalleria Rusticana,1955-04-20
13234,Manon,1955-04-20
13235,Faust,1955-04-21
13236,Otello,1955-04-22
13237,La Traviata,1955-04-23
13238,Le Nozze di Figaro,1955-04-23
13239,Madama Butterfly,1955-04-24
13240,La Traviata,1955-04-25
13241,Faust,1955-04-26
13242,Carmen,1955-04-27
13243,Manon,1955-04-28
13244,Andrea Chénier,1955-04-29
13245,Il Barbiere di Siviglia,1955-04-30
13246,Madama Butterfly,1955-04-30
13247,Faust,1955-05-02
13248,Tosca,1955-05-03
13249,Il Barbiere di Siviglia,1955-05-04
13250,La Bohème,1955-05-05
13251,Pagliacci,1955-05-06
13252,Il Barbiere di Siviglia,1955-05-07
13253,Andrea Chénier,1955-05-07
13254,Manon,1955-05-08
13255,La Traviata,1955-05-09
13256,La Bohème,1955-05-10
13257,Cavalleria Rusticana,1955-05-11
13258,Madama Butterfly,1955-05-12
13259,Andrea Chénier,1955-05-13
13260,Carmen,1955-05-14
13261,Il Barbiere di Siviglia,1955-05-14
13262,Tosca,1955-05-15
13263,Andrea Chénier,1955-05-16
13264,La Bohème,1955-05-17
13265,Tosca,1955-05-18
13266,Andrea Chénier,1955-05-19
13267,Manon,1955-05-20
13268,La Bohème,1955-05-21
13269,Il Barbiere di Siviglia,1955-05-21
13270,Carmen,1955-05-22
13271,La Traviata,1955-05-22
13272,Madama Butterfly,1955-05-23
13273,Cavalleria Rusticana,1955-05-24
13274,La Traviata,1955-05-25
13275,Tosca,1955-05-26
13276,Andrea Chénier,1955-05-27
13277,Carmen,1955-05-28
13278,Manon,1955-05-30
13279,Faust,1955-05-31
13280,La Traviata,1955-06-01
13281,Guild's 20th Anniversary Gala,1955-11-02
13282,Les Contes d'Hoffmann,1955-11-14
13283,Rigoletto,1955-11-17
13284,Lohengrin,1955-11-18
13285,Aida,1955-11-19
13286,Carmen,1955-11-19
13287,Rigoletto,1955-11-21
13288,Aida,1955-11-22
13289,Les Contes d'Hoffmann,1955-11-23
13290,Aida,1955-11-24
13291,Carmen,1955-11-25
13292,Un Ballo in Maschera,1955-11-26
13293,Così Fan Tutte,1955-11-26
13294,Lohengrin,1955-11-28
13295,Rigoletto,1955-11-29
13296,Carmen,1955-11-30
13297,Così Fan Tutte,1955-12-01
13298,Andrea Chénier,1955-12-02
13299,Les Contes d'Hoffmann,1955-12-03
13300,Un Ballo in Maschera,1955-12-03
13301,Così Fan Tutte,1955-12-05
13302,Andrea Chénier,1955-12-06
13303,Lohengrin,1955-12-07
13304,Tosca,1955-12-08
13305,Faust,1955-12-09
13306,Un Ballo in Maschera,1955-12-10
13307,Aida,1955-12-10
13308,Carmen,1955-12-12
13309,Tosca,1955-12-13
13310,Rigoletto,1955-12-14
13311,Andrea Chénier,1955-12-15
13312,La Forza del Destino,1955-12-16
13313,Così Fan Tutte,1955-12-17
13314,Faust,1955-12-17
13315,Aida,1955-12-19
13316,Les Contes d'Hoffmann,1955-12-20
13317,Faust,1955-12-21
13318,La Forza del Destino,1955-12-22
13319,Soirée,1955-12-23
13320,Lohengrin,1955-12-24
13321,Les Contes d'Hoffmann,1955-12-24
13322,Un Ballo in Maschera,1955-12-26
13323,Carmen,1955-12-27
13324,Soirée,1955-12-28
13325,Samson et Dalila,1955-12-29
13326,Tosca,1955-12-30
13327,Aida,1955-12-31
13328,Die Fledermaus,1955-12-31
13329,Andrea Chénier,1956-01-02
13330,Lily Pons Gala,1956-01-03
13331,Samson et Dalila,1956-01-04
13332,Soirée,1956-01-05
13333,Les Contes d'Hoffmann,1956-01-06
13334,Tosca,1956-01-07
13335,Rigoletto,1956-01-07
13336,Samson et Dalila,1956-01-09
13337,La Forza del Destino,1956-01-10
13338,Die Meistersinger von Nürnberg,1956-01-11
13339,Les Contes d'Hoffmann,1956-01-12
13340,Tosca,1956-01-13
13341,Lucia di Lammermoor,1956-01-14
13342,Andrea Chénier,1956-01-14
13343,Die Fledermaus,1956-01-15
13344,Faust,1956-01-16
13345,Un Ballo in Maschera,1956-01-17
13346,Tosca,1956-01-18
13347,Lucia di Lammermoor,1956-01-19
13348,Boris Godunov,1956-01-20
13349,Carmen,1956-01-21
13350,La Forza del Destino,1956-01-21
13351,Les Contes d'Hoffmann,1956-01-23
13352,Tosca,1956-01-24
13353,Andrea Chénier,1956-01-25
13354,Lohengrin,1956-01-26
13355,Le Nozze di Figaro,1956-01-27
13356,Die Meistersinger von Nürnberg,1956-01-28
13357,Samson et Dalila,1956-01-28
13358,La Bohème,1956-01-30
13359,Boris Godunov,1956-01-31
13360,Lucia di Lammermoor,1956-02-01
13361,Un Ballo in Maschera,1956-02-02
13362,Rigoletto,1956-02-03
13363,Faust,1956-02-04
13364,Le Nozze di Figaro,1956-02-04
13365,Der Rosenkavalier,1956-02-06
13366,Les Contes d'Hoffmann,1956-02-07
13367,Aida,1956-02-08
13368,La Bohème,1956-02-09
13369,Die Meistersinger von Nürnberg,1956-02-10
13370,Soirée,1956-02-11
13371,Tosca,1956-02-11
13372,Le Nozze di Figaro,1956-02-13
13373,Die Meistersinger von Nürnberg,1956-02-14
13374,Boris Godunov,1956-02-15
13375,Faust,1956-02-16
13376,Un Ballo in Maschera,1956-02-17
13377,Der Rosenkavalier,1956-02-18
13378,Lucia di Lammermoor,1956-02-18
13379,Tosca,1956-02-20
13380,La Forza del Destino,1956-02-21
13381,La Bohème,1956-02-22
13382,Die Zauberflöte,1956-02-23
13383,Rigoletto,1956-02-24
13384,La Bohème,1956-02-24
13385,Rigoletto,1956-02-25
13386,Lohengrin,1956-02-25
13387,Die Meistersinger von Nürnberg,1956-02-27
13388,La Bohème,1956-02-28
13389,Il Trovatore,1956-02-29
13390,Le Nozze di Figaro,1956-03-01
13391,Rigoletto,1956-03-02
13392,Aida,1956-03-02
13393,Die Zauberflöte,1956-03-03
13394,Boris Godunov,1956-03-03
13395,Il Trovatore,1956-03-05
13396,Die Zauberflöte,1956-03-06
13397,Rigoletto,1956-03-07
13398,Tosca,1956-03-08
13399,Der Rosenkavalier,1956-03-09
13400,Boris Godunov,1956-03-10
13401,Italian Gala,1956-03-10
13402,Soirée,1956-03-12
13403,Die Zauberflöte,1956-03-13
13404,Manon Lescaut,1956-03-14
13405,Die Zauberflöte,1956-03-15
13406,Rigoletto,1956-03-16
13407,Lucia di Lammermoor,1956-03-16
13408,La Forza del Destino,1956-03-17
13409,Carmen,1956-03-17
13410,Boris Godunov,1956-03-19
13411,Manon Lescaut,1956-03-20
13412,Die Zauberflöte,1956-03-21
13413,Der Rosenkavalier,1956-03-22
13414,Rigoletto,1956-03-23
13415,Così Fan Tutte,1956-03-23
13416,Parsifal,1956-03-24
13417,Il Trovatore,1956-03-24
13418,Die Zauberflöte,1956-03-26
13419,Soirée,1956-03-27
13420,Rigoletto,1956-03-28
13421,Le Nozze di Figaro,1956-03-28
13422,Il Trovatore,1956-03-29
13423,Parsifal,1956-03-30
13424,Manon Lescaut,1956-03-31
13425,Der Rosenkavalier,1956-03-31
13426,La Forza del Destino,1956-04-02
13427,Così Fan Tutte,1956-04-03
13428,Tosca,1956-04-04
13429,Carmen,1956-04-05
13430,Parsifal,1956-04-06
13431,Le Nozze di Figaro,1956-04-07
13432,La Bohème,1956-04-07
13433,Don Pasquale,1956-04-09
13434,Tosca,1956-04-10
13435,Der Rosenkavalier,1956-04-11
13436,Rigoletto,1956-04-12
13437,Rigoletto,1956-04-12
13438,Manon Lescaut,1956-04-13
13439,Il Trovatore,1956-04-14
13440,Die Fledermaus,1956-04-14
13441,Die Zauberflöte,1956-04-16
13442,Un Ballo in Maschera,1956-04-17
13443,Die Meistersinger von Nürnberg,1956-04-18
13444,Les Contes d'Hoffmann,1956-04-19
13445,Carmen,1956-04-19
13446,Boris Godunov,1956-04-20
13447,Aida,1956-04-21
13448,Soirée,1956-04-21
13449,La Bohème,1956-04-22
13450,Les Contes d'Hoffmann,1956-04-23
13451,Un Ballo in Maschera,1956-04-24
13452,Faust,1956-04-25
13453,Die Fledermaus,1956-04-25
13454,La Bohème,1956-04-26
13455,Rigoletto,1956-04-27
13456,Der Rosenkavalier,1956-04-28
13457,Aida,1956-04-28
13458,Le Nozze di Figaro,1956-04-30
13459,Tosca,1956-05-01
13460,Les Contes d'Hoffmann,1956-05-02
13461,Die Meistersinger von Nürnberg,1956-05-03
13462,Boris Godunov,1956-05-04
13463,Don Pasquale,1956-05-05
13464,Tosca,1956-05-05
13465,Le Nozze di Figaro,1956-05-07
13466,Rigoletto,1956-05-08
13467,Les Contes d'Hoffmann,1956-05-09
13468,Tosca,1956-05-10
13469,Les Contes d'Hoffmann,1956-05-11
13470,Don Pasquale,1956-05-12
13471,Tosca,1956-05-12
13472,Die Meistersinger von Nürnberg,1956-05-13
13473,Lucia di Lammermoor,1956-05-14
13474,Le Nozze di Figaro,1956-05-15
13475,Tosca,1956-05-16
13476,Les Contes d'Hoffmann,1956-05-17
13477,Boris Godunov,1956-05-18
13478,Rigoletto,1956-05-19
13479,Aida,1956-05-19
13480,Die Meistersinger von Nürnberg,1956-05-20
13481,Don Pasquale,1956-05-21
13482,Boris Godunov,1956-05-22
13483,Les Contes d'Hoffmann,1956-05-23
13484,Boris Godunov,1956-05-24
13485,Aida,1956-05-25
13486,Rigoletto,1956-05-26
13487,Die Meistersinger von Nürnberg,1956-05-26
13488,Die Fledermaus,1956-05-27
13489,Carmen,1956-05-27
13490,Aida,1956-05-28
13491,Faust,1956-05-29
13492,Carmen,1956-05-30
13493,Die Fledermaus,1956-05-31
13494,La Bohème,1956-06-01
13495,Rigoletto,1956-06-02
13496,Norma,1956-10-29
13497,Don Pasquale,1956-10-30
13498,Die Meistersinger von Nürnberg,1956-10-31
13499,Soirée,1956-11-02
13500,Norma,1956-11-03
13501,La Bohème,1956-11-03
13502,Il Trovatore,1956-11-05
13503,Norma,1956-11-07
13504,La Bohème,1956-11-08
13505,Rigoletto,1956-11-09
13506,Die Meistersinger von Nürnberg,1956-11-10
13507,Norma,1956-11-10
13508,Rigoletto,1956-11-12
13509,Aida,1956-11-13
13510,Don Pasquale,1956-11-14
13511,Tosca,1956-11-15
13512,Il Trovatore,1956-11-16
13513,La Bohème,1956-11-17
13514,Die Meistersinger von Nürnberg,1956-11-17
13515,Tosca,1956-11-19
13516,Die Meistersinger von Nürnberg,1956-11-20
13517,La Bohème,1956-11-21
13518,Norma,1956-11-22
13519,Ernani,1956-11-23
13520,Soirée,1956-11-24
13521,Aida,1956-11-24
13522,Ed Sullivan Show: Tosca: Act II Scene,1956-11-25
13523,La Bohème,1956-11-26
13524,Norma,1956-11-27
13525,Ernani,1956-11-28
13526,Les Contes d'Hoffmann,1956-11-29
13527,Tosca,1956-11-30
13528,Le Nozze di Figaro,1956-12-01
13529,Rigoletto,1956-12-01
13530,Lucia di Lammermoor,1956-12-03
13531,Soirée,1956-12-04
13532,Aida,1956-12-05
13533,Rigoletto,1956-12-06
13534,Les Contes d'Hoffmann,1956-12-07
13535,Lucia di Lammermoor,1956-12-08
13536,Madama Butterfly,1956-12-08
13537,Soirée,1956-12-10
13538,Lucia di Lammermoor,1956-12-11
13539,Le Nozze di Figaro,1956-12-12
13540,Il Trovatore,1956-12-13
13541,Lucia di Lammermoor,1956-12-14
13542,Madama Butterfly,1956-12-15
13543,Les Contes d'Hoffmann,1956-12-15
13544,Le Nozze di Figaro,1956-12-17
13545,Ernani,1956-12-18
13546,Lucia di Lammermoor,1956-12-19
13547,Madama Butterfly,1956-12-20
13548,La Périchole,1956-12-21
13549,Les Contes d'Hoffmann,1956-12-22
13550,Ernani,1956-12-22
13551,La Périchole,1956-12-24
13552,Aida,1956-12-25
13553,Rigoletto,1956-12-26
13554,Carmen,1956-12-27
13555,La Bohème,1956-12-28
13556,Ernani,1956-12-29
13557,Les Contes d'Hoffmann,1956-12-29
13558,La Périchole,1956-12-31
13559,La Bohème,1957-01-01
13560,Carmen,1957-01-02
13561,Ernani,1957-01-03
13562,Madama Butterfly,1957-01-04
13563,Rigoletto,1957-01-05
13564,Tosca,1957-01-05
13565,Arabella,1957-01-07
13566,La Périchole,1957-01-08
13567,Les Contes d'Hoffmann,1957-01-09
13568,Tosca,1957-01-10
13569,La Périchole,1957-01-11
13570,Carmen,1957-01-12
13571,Le Nozze di Figaro,1957-01-12
13572,La Bohème,1957-01-14
13573,Ernani,1957-01-15
13574,Madama Butterfly,1957-01-16
13575,Arabella,1957-01-17
13576,Das Rheingold,1957-01-18
13577,La Périchole,1957-01-19
13578,Carmen,1957-01-19
13579,La Bohème,1957-01-20
13580,Ernani,1957-01-21
13581,Die Walküre,1957-01-22
13582,Tosca,1957-01-23
13583,La Périchole,1957-01-24
13584,Carmen,1957-01-25
13585,Das Rheingold,1957-01-26
13586,Il Trovatore,1957-01-26
13587,Ed Sullivan Show: Madama Butterfly: Act I scene,1957-01-27
13588,Madama Butterfly,1957-01-28
13589,Rigoletto,1957-01-29
13590,Siegfried,1957-01-30
13591,Aida,1957-01-31
13592,Le Nozze di Figaro,1957-02-01
13593,Die Walküre,1957-02-02
13594,La Bohème,1957-02-02
13595,Aida,1957-02-04
13596,Madama Butterfly,1957-02-05
13597,La Périchole,1957-02-06
13598,Götterdämmerung,1957-02-07
13599,La Bohème,1957-02-08
13600,Arabella,1957-02-09
13601,Rigoletto,1957-02-09
13602,Carmen,1957-02-11
13603,Die Walküre,1957-02-12
13604,Il Trovatore,1957-02-13
13605,Le Nozze di Figaro,1957-02-14
13606,Tosca,1957-02-15
13607,Siegfried,1957-02-16
13608,La Périchole,1957-02-16
13609,Ed Sullivan Show: Rigoletto: Excerpts,1957-02-17
13610,Das Rheingold,1957-02-18
13611,La Périchole,1957-02-19
13612,Tosca,1957-02-20
13613,Die Walküre,1957-02-20
13614,La Traviata,1957-02-21
13615,Arabella,1957-02-22
13616,Aida,1957-02-23
13617,Götterdämmerung,1957-02-23
13618,Siegfried,1957-02-25
13619,Carmen,1957-02-26
13620,Tosca,1957-02-27
13621,La Bohème,1957-02-28
13622,Tosca,1957-03-01
13623,Die Zauberflöte,1957-03-01
13624,Götterdämmerung,1957-03-02
13625,La Traviata,1957-03-02
13626,Tosca,1957-03-04
13627,Götterdämmerung,1957-03-05
13628,La Traviata,1957-03-06
13629,La Gioconda,1957-03-07
13630,Tosca,1957-03-08
13631,Die Walküre,1957-03-08
13632,Die Zauberflöte,1957-03-09
13633,Carmen,1957-03-09
13634,Ed Sullivan Show: Andrea Chenier: Final duet,1957-03-10
13635,Lucia di Lammermoor,1957-03-11
13636,La Traviata,1957-03-12
13637,Die Zauberflöte,1957-03-13
13638,Die Meistersinger von Nürnberg,1957-03-14
